leaderboard,benchmark,month,n_models,max_score,mean_score,std_score,bdi_entropy,bdi_gap_top20,bdi_iqr_top50,ceiling_proximity,top10_gap,top10_iqr
v2,MATH Lvl 5,2024-07,174,41.31419939577039,8.614178560266694,7.686477858113232,0.4958248909422794,1.2044840197169657,9.384441087613292,0.4131419939577039,2.2155085599194355,15.219033232628401
v2,MATH Lvl 5,2024-08,208,55.36253776435045,11.40991749941901,10.6650300012445,0.5977510660554471,1.5662267451105103,13.802870090634443,0.5536253776435045,1.9217858341725405,2.5490936555891253
v2,MATH Lvl 5,2024-09,460,62.53776435045317,12.132536450807828,12.221813365031064,0.6176431462822953,0.9460963587215773,18.013595166163146,0.6253776435045317,0.9902651896609598,5.796827794561935
v2,MATH Lvl 5,2024-10,432,59.818731117824775,12.24037009063444,11.438906619632247,0.6245097670133317,1.0454762283351886,16.710725075528693,0.5981873111782477,1.5105740181268885,2.209214501510573
v2,MATH Lvl 5,2024-11,374,57.85498489425982,15.358579575746807,13.88635653993262,0.6930657825096602,0.7751629829861667,10.970543806646532,0.5785498489425982,1.0657938905673048,2.813444108761331
v2,MATH Lvl 5,2024-12,571,62.311178247734134,19.291961418193555,14.935287183045245,0.7325229100492204,0.6519319446652885,7.8172205438066555,0.6231117824773413,0.8392077878482707,1.4728096676737152
v2,MATH Lvl 5,2025-01,868,71.45015105740181,17.2345531624598,15.25133431243559,0.7263665438799513,1.0613770074733662,5.381419939577043,0.7145015105740181,1.779120510238335,6.268882175226594
v2,MATH Lvl 5,2025-02,692,59.89425981873112,20.235033966086306,16.2346423759056,0.7597553989723355,0.3935442836698998,3.379909365558909,0.5989425981873112,0.7049345417925481,1.4539274924471286
v2,MATH Lvl 5,2025-03,342,57.55287009063444,22.558126181516226,18.337446425082476,0.7764538957713707,0.22261090793448912,5.022658610271904,0.5755287009063444,0.26854649211144654,1.0574018126888234
v2,GPQA,2024-06,443,19.686800894854585,5.023204609612112,3.9788983119154384,0.3324015750787259,0.30024726245143063,4.865771812080537,0.19686800894854584,0.3604275416355958,1.705816554809843
v2,GPQA,2024-07,174,18.791946308724835,5.366556095554013,3.84743804027984,0.34014264152954143,0.44154009184033916,3.859060402684565,0.18791946308724836,0.770569226945066,4.670022371364647
v2,GPQA,2024-08,208,20.917225950782996,6.394123214593013,4.788450245225752,0.40560243774526833,0.37089367714588467,3.2158836689038086,0.20917225950782994,0.4847129008202834,1.873601789709177
v2,GPQA,2024-09,460,21.588366890380314,5.893638751094252,4.474444802810217,0.38403359452425434,0.282585658777817,5.2293064876957445,0.21588366890380314,0.3977131493910022,2.153243847874716
v2,GPQA,2024-10,432,20.805369127516784,6.074964785814898,4.783712340566599,0.3908981253915158,0.300247262451431,3.4116331096196824,0.20805369127516785,0.4598558289833466,2.1532438478747196
v2,GPQA,2024-11,374,24.94407158836689,6.617497517615953,4.533710967879243,0.3884992527628529,0.5180737077593313,3.1319910514541327,0.2494407158836689,0.8948545861297537,2.992170022371365
v2,GPQA,2024-12,571,24.608501118568235,8.340091757856426,5.474903513100779,0.4475259641070014,0.3237960673495821,1.3143176733780741,0.24608501118568235,0.5965697240865026,2.544742729306485
v2,GPQA,2025-01,868,29.418344519015662,6.906256765533666,5.229934858686978,0.41321375470343263,0.5357353114329447,1.286353467561522,0.2941834451901566,1.0315684812329107,5.201342281879192
v2,GPQA,2025-02,692,29.194630872483216,7.348120417426388,5.270391131858132,0.4331190924121215,0.5416225126574826,1.538031319910516,0.2919463087248322,1.081282624906786,0.950782997762861
v2,GPQA,2025-03,342,27.628635346756152,7.372084200060178,6.056995370290787,0.4460489714474212,0.45920169551395285,1.7897091722595135,0.27628635346756153,0.8824260502112852,1.8176733780760657
v2,MUSR,2024-06,443,25.88020833333333,10.009188064334086,5.373332870921083,0.4872798188028876,0.25376918859649117,4.512500000000006,0.25880208333333327,0.250983796296295,1.1889322916666707
v2,MUSR,2024-07,174,21.297656250000003,9.317251855842912,4.644008693183269,0.4601017066387108,0.3131030701754387,3.2356770833333357,0.21297656250000002,0.479079861111112,2.3109374999999943
v2,MUSR,2024-08,208,24.285677083333326,10.355627754407049,5.227047910774675,0.48073185533865276,0.36626918859649094,4.068033854166661,0.24285677083333326,0.4176215277777769,2.431380208333337
v2,MUSR,2024-09,460,36.37213541666666,9.394177423007246,5.270680141666096,0.46902454063744087,0.9466419956140346,2.630859375,0.36372135416666657,1.8396412037037035,2.303710937499993
v2,MUSR,2024-10,432,24.727083333333336,9.040961974344135,5.204682460597349,0.46799125433047467,0.33345668859649125,2.240559895833343,0.24727083333333336,0.5956597222222229,3.35963541666667
v2,MUSR,2024-11,374,38.52890624999999,10.297767658199643,5.539619324540035,0.48020904810192916,1.0103070175438595,2.5294270833333314,0.3852890624999999,1.9884548611111097,2.015950520833332
v2,MUSR,2024-12,571,28.389583333333334,10.78336115367776,5.902792770939521,0.4974773640920539,0.38008497807017566,2.0673828125,0.28389583333333335,0.6017361111111114,0.9965494791666636
v2,MUSR,2025-01,868,31.919270833333332,9.537271985407063,6.463878485220658,0.5105739005794915,0.47378015350877223,2.730794270833332,0.3191927083333333,0.8372395833333337,3.5210286458333293
v2,MUSR,2025-02,692,28.348697916666662,10.408821802745663,5.714695309739711,0.5022608837033266,0.3594435307017545,1.5084635416666679,0.2834869791666666,0.5357349537037032,1.4677083333333343
v2,MUSR,2025-03,342,38.688020833333326,10.700114217836257,6.872946145385247,0.5419332096514924,0.8179824561403509,5.478710937499997,0.38688020833333325,1.4638599537037027,2.6880208333333364
v2,MMLU-PRO,2024-06,443,52.56168735224587,20.810207142628435,11.783619043107453,0.7031410545819495,0.6051115154908552,4.65425531914893,0.5256168735224587,0.7264578408195442,2.1493609633569832
v2,MMLU-PRO,2024-07,174,49.64354314420804,22.913312477921796,10.970198412634725,0.687021770945447,0.8651393554809013,7.7894134160756465,0.4964354314420804,1.0342789598108741,5.141382239952733
v2,MMLU-PRO,2024-08,208,50.67782210401892,25.957329599699943,12.957620631031038,0.7215953849372772,0.41798867736717754,7.205322842789599,0.5067782210401892,0.31089933018124566,0.618720449172578
v2,MMLU-PRO,2024-09,460,66.80149231678487,25.721144580635215,12.12317750036375,0.7116482276358108,0.9997705922607938,6.879802009456263,0.6680149231678487,1.8602656291042825,3.439901004728142
v2,MMLU-PRO,2024-10,432,59.349143026004725,24.003283767292707,13.03508798152265,0.7425186338096867,0.677044450665671,7.341533687943269,0.5934914302600472,1.1327817178881006,3.3267767434988116
v2,MMLU-PRO,2024-11,374,70.03361406619385,24.77687248738954,14.088868980452013,0.7351961584636945,1.2539660321015298,8.87910017730497,0.7003361406619385,2.3261015891778296,4.444167405437355
v2,MMLU-PRO,2024-12,571,57.16976950354611,28.89278781263844,14.47096853645991,0.7486952703891392,0.31883787482891607,3.4814568557919543,0.5716976950354611,0.4689141712634629,0.7364620271867608
v2,MMLU-PRO,2025-01,868,56.153959810874696,24.516786095586717,15.092247233608694,0.7200234190269679,0.38250824312554355,0.4663489952718649,0.561539598108747,0.7644224454951396,2.81194592198581
v2,MMLU-PRO,2025-02,692,57.2621158392435,27.817006287664494,14.96845652236054,0.729553676787277,0.4306255443573473,0.33475546690307567,0.572621158392435,0.8639512739690045,2.2255466903073255
v2,MMLU-PRO,2025-03,342,54.270094562647756,26.028802984115135,17.032123653361523,0.7085153380764181,0.27898314047530187,0.5679299645390046,0.5427009456264775,0.5704951405306026,2.2809544917257654
